1,Общий анализ крови 19 показатель1,53000;
2,Гликолизированный гемоглобин2,89000;
3,Лямблии IgA,75000;
4,Лямблии IgG,75000;
5,Лямблии IgM,75000;
6,Аскарида IgG,75000;
7,Эхинококк IgG,75000;
8,Иммуноглобулин Е(IgЕ),75000;
9,Хеликобактеринилори IgG,85000;
10,Протромбиновое время (Prothrombin time),53000;
11,Активное частичное тромбопластиновое время (АРТТ),53000;
12,Фибриноген,53000;
13,МНО,53000;
14,ПТИ,53000;
15,Группа крови и резус-фактор (RH),98000;
16,ГРУППА КРОВИ АНТИТЕЛА,100000;
17,Глюкоза натощак,105000;
18,АФП- Маркер желчного пузыря. Печени и кишечника,93000;
19,РЭА – Раково- эмбриональный антиген (РЭА),93000;
20,ПСА – Специфический антиген простаты,93000;
21,Св. ПСА - Специфический антиген простаты (свободная фракция ПСА),93000;
22,СА 15-3 – Онкомаркер молочной железы,93000;
23,СА 19-9 – Маркер рака желчного пузыря. Поджелудочной железы и панкреатита.,93000;
24,СА 125- Стандартный онкомаркер рака яичников,93000;
25,Свободный хореонический гонадотропин (Free B-HCG),93000;
26,HE 4- онкоморкер эпителиального рака яичников,260000;
27,SCC – Антиген плоскоклеточной карциномы,260000;
28,СА- 242 – Маркер рака поджелудочной железы,260000;
29,СА 72-4 – Маркер желудка. Толстого кишечника. Яичников,260000;
30,NSE – Нейро специфического енолаза (NSE),260000;
31,Cyfra 21-1- Маркер мочевого пузқря. Пищевода. Толстой кишки. и шейки матки,260000;
32,Кальцитонин – Маркер оприделение гипокальциимечиского обмена,260000;
33,ИНДЕКС РОМА,260000;
34,Витамин В 12- определения витамин В 12 в сыворотке,260000;
35,Витамин Д - определения витамина Д в сыворотке,260000;
36,Ренин - определения инсулина в сыворотке,260000;
37,Альдестерон - определения альдестерона в сыворотке,190000;
38,Д- димер - для определения фракциираспада фибринолиза,190000;
39,ЭЛЕКТРОЛИТЫ Калий,38000;
40,ЭЛЕКТРОЛИТЫ Натрий,38000;
41,ЭЛЕКТРОЛИТЫ Хлор,38000;
42,ЭЛЕКТРОЛИТЫ Кальций общий,38000;
43,ЭЛЕКТРОЛИТЫ Фосфор,38000;
44,ЭЛЕКТРОЛИТЫ Магний,38000;
45,ЭЛЕКТРОЛИТЫ Железа,148000;
46,Кортизол,83000;
47,Прогестерон,83000;
48,Пролактин,83000;
49,Лютеинизирующий гормон,83000;
50,Фолликулостимулирующий гормон,83000;
51,Эстрадиол,83000;
52,Эстриол,150000;
53,Соматотропный гормон,150000;
54,Инсулиноподобный фактор роста (IGF-1),83000;
55,Тиреотропный гормон (ТТГ),83000;
56,Трийодтиронин свободный,83000;
57,Триоксин свободный,83000;
58,Трийодтиронин общий (Т3),83000;
59,Тироксин общий (Т4),83000;
60,Тестостерон,83000;
61,Свободный тестостерон (Free Testosterone),83000;
62,Дегидро эпиандростерона сульфат (DHEA-S),150000;
63,Прокальцитанин (Procalctionin),260000;
64,Инсулин,83000;
65,Ат - ТПО,190000;
66,Хорионический гонадотропин (HGG),83000;
67,Адренокортикотронный гормон (АКТГ) – человеческого адренокортикотропного гормона в образцах ЭДТА – плазмы,190000;
68,Антимюллер гормон (АМН) - AMH/MIS в сыворотке,270000;
69,Ингибин В – ингибина В в сыворотке,98000;
70,ХГЧ свободный – вс.,83000;
71,Общий белок,47000;
72,Альбумин,47000;
73,Общий билирубин,47000;
74,Прямой билирубин,47000;
75,Непрямой билирубин,47000;
76,Глюкоза,47000;
77,Аланинаминотрансфераза (АЛТ),47000;
78,Аспартатаминотрансфераза (АСТ),47000;
79,Креатинкиназа,47000;
80,Креатинин,47000;
81,Креатинкиназа – МБ,47000;
82,Мочевина,47000;
83,Мочевина по Бертилоту (ферментативное определение),47000;
84,Мочевая кислота,53000;
85,ДИАГНОСТИКА АНЕМИЙ Железо,170000;
86,ДИАГНОСТИКА АНЕМИЙ Ферритин,190000;
87,ДИАГНОСТИКА АНЕМИЙ Общая железосвязывающая способность,190000;
88,Холестерин общий,38000;
89,Холестерин ЛПВП,38000;
90,Холестерин ЛПНП,38000;
91,Триглицериды,38000;
92,АЗОД,171000;
93,Тропонин,171000;
94,Общий билирубин,47000;
95,Прямой билирубин,47000;
96,Непрямой билирубин,47000;
97,Аланиноминотрансфераза (АЛТ),47000;
98,Аспартатаминотрансфераза (АСТ),47000;
99,Фосфотаза щелочная,47000;
100,Фосфотаза кислая,47000;
101,Тимоловая проба,83000;
102,Salmonella AO,190000;
103,Salmonella BH,190000;
104,Salmonella P – OХ,190000;
105,Salmonella T-H,190000;
106,Salmonella TO,190000;
107,Salmonеlla BO,190000;
108,RHEU – TEST(ASLO-CRP-RF),190000;
109,Тропанин 1,190000;
110,Rose Bengal (определение бруцеллёза),190000;
111,Brusella Abortus,190000;
112,Brusella melitensis,190000;
113,TB(туберкулёз),190000;
114,Альфа – Амилаза (Диастаза),47000;
115,Аспартатаминотрансфераза (АСТ),47000;
116,Лактатдигидрогенеза,47000;
117,Холинестераза,47000;
118,Гамма – Глутамилтрансфераза,47000;
119,Липаза,128000;
120,Фосфотаза щелочная,47000;
121,Креатинкиназа,47000;
122,Креатинкиназа – МВ,47000;
123,Общая биохимия,530000;
124,Липидный спектр,152000;
125,Электролиты,350000;
126,Печеночные пробы,300000;
127,Коагулограмма,250000;
128,Диагностика анемий,900000;
129,Ферменты крови,389000;
130,ТSH & fT3 & fT4 & Т3 & Т4: Гормоны отвечающие за работу щитовидной железы,400000;
131,TORCH IgG:ТОХО IgG & CMV IgG & HSVII & IgG & ChL.IgG & Mysc.hom.IgG & Ur.ur.IgG & RubellaIgG,630000;
132,TORCH IgM:TOХО IgM & CMV IgM & HSVII & IgM & Chl/tr IgM & Mysc.hom. IgM. Ur.ur. IgM. Rubella IgM.,416000;
133,Ангистизин,242000;
134,Ринин,242000;
135,Алдестерон,242000;
136,Ревматоидный Фактор,75000;
137,С-реактивный белок,75000;
138,Антистрептолизин-О,75000;
139,ИММУНИТЕТ,120000;
140,Белковая фракция,180000;
141,Anti-HAV IgG,190000;
142,HAV IgM,190000;
143,HBsAg,75000;
144,Anti – HBs\HBsAb,190000;
145,Anti – HBs IgM,190000;
146,HBeAg,190000;
147,HCV – Ab,190000;
148,Chlamydia Pneumonia IgM,83000;
149,Chlamydia Pneumonia IgG,83000;
150,Mycaplasma Pneumonia IgM,83000;
151,Mycaplasma Pneumonia IgG,83000;
152,Helico acter pylori IgM,83000;
153,Helicobacter pylori IgA,83000;
154,Syphilis IgG,83000;
155,Gardnerella Vaginalis IgG,171000;
156,Gardnerella Vaginalis IgM,171000;
157,Trichomonas Vaginalis IgG,171000;
158,Trichomonas Vaginalis IgM,171000;
159,Toхoplasma Gondii IgG,83000;
160,Toхoplasma Gondi IgM,83000;
161,Cytomegalovirus IgG,83000;
162,Cytomegalovirus IgM,83000;
163,Rubella IgG (краснуха),83000;
164,Rubella IgM (краснуха),83000;
165,Herpes Simpleх I IgG,83000;
166,Herpes Simpleх I IgM,83000;
167,Herpes Simpleх I I IgG,83000;
168,Herpes Simpleх II IgM,83000;
169,Chlamydia trachomatis IgG,83000;
170,Chlamydia trachomatis IgM,83000;
171,Chlamydia trachomatis IgA,83000;
